ID,Name,Polymer Smiles,Monomer Smiles 1,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR
P010071,Others,*CCC=C*, C=CC=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14447433883512,0.0,1.4071,18.564
P010071,Others,*CCC=C*, C=CC=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14447433883512,0.0,1.4071,18.564
P010072,Others,*CCC=C*, C=CC=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14447433883512,0.0,1.4071,18.564
P010073,Others,CC(*)*, CC=[N+]=[N-],0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.104193142226158,0.0,0.8509,9.424
P010074,Others,*C=C*, C#C,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.414590110041903,0.0,0.5562,9.14
P010075,Others,CC(*)C(C)CC*, CC=CC,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.563961599812586,0.0,2.3379000000000003,28.011999999999983
P010076,Others,*CCC1CCCC1*, C1CC=CC1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,45.92307256067996,0.0,2.482,30.514999999999983
P010077,Others,*CCCCCCCCC=C*, C1CCCCC=CCCC1,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.33412702521478,0.0,3.7477000000000023,46.26600000000002
P010078,Others,CCCCCCCCCCCCCCCCCCCCC(*)C*, CCCCCCCCCCCCCCCCCCCCC=C,0.0,0.0,20.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,142.40303543015838,0.0,8.723600000000003,101.9540000000001
P010079,Others,*CCCCCCCCCCC=C*, C1CCCCCC=CCCCC1,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.064011254008,0.0,4.527900000000004,55.50000000000004
P010080,Others,CCCCCCCCCCCCCCC(*)C*, CCCCCCCCCCCCCCC=C,0.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,104.2133827437787,0.0,6.383000000000006,74.25200000000007
P010081,Others,*CCCCCCC=C*, C1CCCC=CCC1,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.604242796421545,0.0,2.967500000000001,37.032
P010082,Others,*CCCC=C*, C1CC=CC1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.50941645323173,0.0,1.7972,23.18099999999999
P010083,Others,CC(C)(C)C(*)C*, CC(C)(C)C=C,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.563961599812586,0.0,2.3379000000000003,28.011999999999983
P010085,Others,*CCCCC=C*, C1CCC=CC1,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.874358567628335,0.0,2.1873000000000005,27.797999999999988
P010085,Others,*CCCCC=C*, C1CCC=CC1,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.874358567628335,0.0,2.1873000000000005,27.797999999999988
P010086,Others,CCCCCCCCCCCCCC(*)C*, CCCCCCCCCCCCCC=C,0.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,97.84844062938208,0.0,5.992900000000006,69.63500000000006
P010088,Others,CCC(*)*, CCC=CCC,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.469135256622767,0.0,1.241,14.041000000000002
P010088,Others,CCC(*)*, CCC=[N+]=[N-],0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.469135256622767,0.0,1.241,14.041000000000002
P010089,Others,CCCCCCCCCCCC(*)C*, CCCCCCCCCCCC=C,0.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.11855640058886,0.0,5.212700000000005,60.40100000000006
P010090,Others,CCCCCCCCCC(*)C*, CCCCCCCCCC=C,0.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.38867217179563,0.0,4.432500000000004,51.16700000000004
P010091,Others,CC1CCCC(C1)C(*)C*, CC1CCCC(C1)C=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,58.65295678947317,0.0,3.118100000000002,39.67900000000001
P010091,Others,CC1CCCC(C1)C(*)C*, CC1CCCC(C1)C=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,58.65295678947317,0.0,3.118100000000002,39.67900000000001
P010092,Others,CC1CCC(CC1)C(*)C*, CC1CCC(CC1)C=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.65295678947319,0.0,3.118100000000002,39.67900000000001
P010092,Others,CC1CCC(CC1)C(*)C*, CC1CCC(CC1)C=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.65295678947319,0.0,3.118100000000002,39.67900000000001
P010093,Others,*CC(*)C1CCC=CC1, C=CC1CCC=CC1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,51.59841164289231,0.0,2.648100000000001,35.03799999999999
P010094,Others,CCCCC(*)=CCC*, CCCCC(=C)C=C,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.60424279642154,0.0,2.967500000000001,37.032
P010095,Others,CCC(*)=CCC*, CCC(=C)C=C,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.874358567628335,0.0,2.1873000000000005,27.797999999999988
P010096,Others,CCCCCCCC(*)=CCC*, CCCCCCCC(=C)C=C,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69906913961137,0.0,4.137800000000004,50.88300000000003
P010097,Others,CC(C)C(*)=CCC*, CC(C)C(=C)C=C,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.239300682024925,0.0,2.433300000000001,32.344999999999985
P010098,Others,*CCCC=C*, C1CC=CC1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.50941645323173,0.0,1.7972,23.18099999999999
P010099,Others,CC(C)(C)CCC(*)C*, CC(C)(C)CCC=C,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.29384582860581,0.0,3.118100000000002,37.246
P010100,Others,*C1CCC1*, C1CC=C1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,26.828246217490147,0.0,1.4558,16.734
P010100,Others,*C1CCC1*, C1CC=C1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,26.828246217490147,0.0,1.4558,16.734
P010101,Others,*C=C*, C#C,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.414590110041903,0.0,0.5562,9.14
P010102,Others,*CCCCCC=C*, C1CCC=CCC1,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.23930068202493,0.0,2.577400000000001,32.414999999999985
P010103,Others,*C=CC1CCC(*)C1, C1CC2CC1C=C2,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.7142857142857143,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,45.23346952849571,0.0,2.1873000000000005,30.230999999999987
