ID,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR
P512101,0.0,0.0,23.0,0.0,0.0,2.0,0.0,0.5789473684210527,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.59778623550434,0.0,11.698199999999986,172.34199999999953
P512102,0.0,0.0,25.0,0.0,0.0,2.0,0.0,0.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.32767046429757,0.0,12.478399999999981,181.5759999999994
P512103,2.0,0.0,17.0,0.0,2.0,4.0,0.0,0.4444444444444444,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,231.65203701759353,18.46,9.905599999999996,163.5839999999996
P512105,2.0,0.0,17.0,0.0,2.0,4.0,0.0,0.4444444444444444,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,231.65203701759344,18.46,9.905599999999998,163.58399999999958
P512114,2.0,0.0,8.0,0.0,2.0,4.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.30714011433611,18.46,3.077300000000001,73.76000000000005
P512117,2.0,0.0,27.0,0.0,2.0,4.0,0.0,0.373134328358209,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.11878052128054,18.46,18.496299999999987,295.89799999999985
P512118,2.0,0.0,29.0,0.0,2.0,4.0,0.0,0.4084507042253521,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,441.578548978867,18.46,19.768499999999996,314.2260000000003
P512120,1.0,0.0,9.0,0.0,1.0,3.0,0.0,0.3076923076923077,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,163.24352519858488,9.23,6.796600000000007,116.85300000000005
P512121,1.0,0.0,9.0,0.0,1.0,3.0,0.0,0.3076923076923077,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,163.2435251985849,9.23,6.796600000000007,116.85300000000004
P512122,1.0,0.0,10.0,0.0,1.0,3.0,0.0,0.25,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,198.3006194046489,9.23,8.463600000000005,142.28899999999982
P512123,2.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.75210108613335,37.3,-0.44609999999999994,32.762299999999996
P512127,3.0,0.0,19.0,0.0,3.0,5.0,0.0,0.5757575757575758,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,220.80331438422618,27.69,8.786700000000003,152.64999999999975
P512128,7.0,0.0,40.0,0.0,7.0,9.0,0.0,0.6,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,438.67052600231364,64.61000000000001,17.771199999999975,300.96399999999977
P512129,0.0,0.0,13.0,0.0,0.0,4.0,0.0,0.41935483870967744,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0191030765344,0.0,8.660100000000005,151.1199999999997
