category,name,structure,CAS,mw,mp,density
"acrylic acid, ester",cis-3-bromoacrylic acid,BrCH=CHC(O)OH,1609-92-3,150.96,63,
"acrylic acid, ester",2-bromoacrylic acid,H2C=CBrC(O)OH,10443-65-9,150.97,63,
"acrylic acid, ester","2-bromoacrylic acid, ethyl ester",H2C=CBrC(O)OCH2CH3,4519-46-4,164.99,,
"acrylic acid, ester",2-bromoethyl acrylate,H2C=CHC(O)OCH2CH2Br,4823-47-6,179.03,,1.4774
"acrylic acid, ester",2-(bromomethyl)acrylic acid,H2C=C(CH2Br)C(O)OH,72707-66-5,164.99,70,
"acrylic acid, ester","2-(bromomethyl)acrylic acid, ethyl ester",H2C=C(CH2Br)C(O)OCH2CH3,17435-72-2,193.05,,1.388
"acrylic acid, ester","2-(bromomethyl)acrylic acid, methyl ester",H2C=C(CH2Br)C(O)OCH3,4224-69-5,179.02,,1.489
"acrylic acid, ester",2-butoxyethyl acrylate,H2C=CHC(O)OCH2CH2O(CH2)3CH3,7251-90-3,172.22,,0.9497
"acrylic acid, ester",n-butyl acrylate,H2C=CHC(O)O(CH2)3CH3,141-32-2,128.17,-64,0.894
"acrylic acid, ester",sec-butyl acrylate,H2C=CHC(O)OCH(CH3)CH2CH3,2998-08-05,128.17,,0.8114
"acrylic acid, ester",tert-butyl acrylate,H2C=CHC(O)OC(CH3)3,1663-39-4,128.17,,0.885
"acrylic acid, ester",butyl 2-cyanoacrylate,H2C=C(CN)C(O)O(CH2)3CH3,6606-65-1,153.18,,0.986
"acrylic acid, ester","1,3-butylene diacrylate","H2C=CHC(O)OR,  R=(-CH2CH2CH(CH3)-)",19485-03-1,198.22,,1.03
"acrylic acid, ester","1,4-butylene diacrylate","H2C=CHC(O)OR,  R=(-(CH2)4-)",1070-70-8,198.22,,1.051
"acrylic acid, ester",cis-3-chloroacrylic acid,ClCH=CHC(O)OH,1609-93-4,106.51,61,
"acrylic acid, ester",trans-3-chloroacrylic acid,ClCH=CHC(O)OH,2345-61-1,106.51,84,
"acrylic acid, ester",2-chloroacrylic acid,H2C=CClC(O)OH,26952-44-3,106.51,60,
"acrylic acid, ester","2-chloroacrylic acid, butyl ester",H2C=CCl(O)O(CH2)3CH3,13401-85-9,162.62,,
"acrylic acid, ester","2-chloroacrylic acid, ethyl ester",H2C=CClC(O)OCH2CH3,687-46-7,134.56,,1.1404
"acrylic acid, ester","2-chloroacrylic acid, methyl ester",H2C=CClC(O)OCH3,80-63-7,120.54,,1.189
"acrylic acid, ester",2-chloroethyl acrylate,H2C=CHC(O)OCH2CH2Cl,2206-89-5,134.57,,1.1404
"acrylic acid, ester",crotyl acrylate,H2C=CHC(O)OCH2CH=CHCH3,23916-33-8,126.16,,
"acrylic acid, ester",2-cyanoethyl acrylate,H2C=CHC(O)OCH2CH2CN,106-71-8,125.13,-17,1.069
"acrylic acid, ester",cyclohexyl acrylate,H2C=CHC(O)OC6H11,3066-71-5,154.21,,0.975
"acrylic acid, ester",cyclopentyl acrylate,H2C=CHC(O)OC5H9,16868-13-6,282.38,,
"acrylic acid, ester",n-decyl acrylate,H2C=CHC(O)O(CH2)9CH3,2156-96-9,212.34,,0.8781
"acrylic acid, ester","2,3-dibromopropyl acrylate",H2C=CHC(O)OCH2CHBrCH2Br,19660-16-3,271.94,,1.7803
"acrylic acid, ester","2,3-dichloropropyl acrylate",H2C=CHC(O)OCH2CHClCH2Cl,24910-84-7,183.04,,1.2603
"acrylic acid, ester",dicyclopentenyl acrylate,H2C=CHC(O)OC10H13,33791-58-1,202.25,,
"acrylic acid, ester",dicyclopentenyloxyethyl acrylate,H2C=CHC(O)OCH2CH2OC10H13,65983-31-5,248.32,,1.085
"acrylic acid, ester",2-(diethylamino)ethyl acrylate,H2C=CHC(O)OCH2CH2N(CH2CH3)2,2426-54-2,171.27,htmlentities(',0.925
"acrylic acid, ester",di(ethylene glycol) diacrylate,"H2C=CHC(O)OR,  R=(-CH2CH2OCH2CH2-)",4074-88-8,214.22,,1.118
"acrylic acid, ester",dihydrodicyclopentadienyl acrylate,H2C=CHC(O)OC10H15,12542-30-2,204.27,-40,1.08
"acrylic acid, ester","2,3-dihydroxypropyl acrylate",H2C=CHC(O)OCH2CH(OH)CH2OH,10095-20-2,146.15,,
"acrylic acid, ester",2-(dimethylamino)ethyl acrylate,H2C=CHC(O)OCH2CH2N(CH3)2,2439-35-2,143.19,htmlentities(',0.943
"acrylic acid, ester",3-(dimethylamino)neopentyl acrylate,"H2C=CHC(O)OR,  R=CH2C(CH3)2CH2N(CH3)2",20166-73-8,181.24,,0.9
