0.77,52.52,-0.348
0.77,52.55,-0.348
0.77,52.59,-0.349
0.77,52.62,-0.349
0.77,52.65,-0.349
0.78,52.69,-0.349
0.78,52.72,-0.349
0.78,52.75,-0.349
0.78,52.79,-0.349
0.78,52.82,-0.349
0.78,52.85,-0.349
0.78,52.89,-0.349
0.79,52.92,-0.349
0.79,52.95,-0.349
0.79,52.99,-0.349
0.79,53.02,-0.349
0.79,53.05,-0.349
0.80,53.09,-0.349
0.80,53.12,-0.349
0.80,53.15,-0.349
0.80,53.19,-0.349
0.80,53.22,-0.349
0.80,53.25,-0.349
0.80,53.29,-0.349
0.81,53.32,-0.349
0.81,53.35,-0.350
0.81,53.39,-0.350
0.81,53.42,-0.350
0.81,53.45,-0.350
0.82,53.49,-0.350
0.82,53.52,-0.350
0.82,53.55,-0.350
0.82,53.59,-0.350
0.82,53.62,-0.350
0.82,53.65,-0.350
0.83,53.69,-0.350
0.83,53.72,-0.350
0.83,53.75,-0.350
0.83,53.79,-0.350
0.83,53.82,-0.350
0.83,53.85,-0.350
0.83,53.89,-0.350
0.84,53.92,-0.350
0.84,53.95,-0.350
0.84,53.99,-0.350
0.84,54.02,-0.350
0.84,54.05,-0.351
0.85,54.09,-0.351
0.85,54.12,-0.351
0.85,54.15,-0.351
0.85,54.19,-0.351
0.85,54.22,-0.351
0.85,54.25,-0.351
0.85,54.28,-0.351
0.86,54.32,-0.351
0.86,54.35,-0.351
0.86,54.38,-0.351
0.86,54.42,-0.351
0.86,54.45,-0.351
0.87,54.48,-0.351
0.87,54.52,-0.351
0.87,54.55,-0.351
0.87,54.58,-0.351
0.87,54.62,-0.351
0.87,54.65,-0.351
0.88,54.68,-0.351
0.88,54.72,-0.351
0.88,54.75,-0.352
0.88,54.78,-0.352
0.88,54.82,-0.352
0.88,54.85,-0.352
0.88,54.88,-0.352
0.89,54.92,-0.352
0.89,54.95,-0.352
0.89,54.98,-0.352
0.89,55.02,-0.352
0.89,55.05,-0.352
0.90,55.08,-0.352
0.90,55.12,-0.352
0.90,55.15,-0.352
0.90,55.18,-0.352
0.90,55.22,-0.352
0.90,55.25,-0.352
0.90,55.28,-0.352
0.91,55.32,-0.352
0.91,55.35,-0.352
0.91,55.38,-0.353
0.91,55.42,-0.353
0.91,55.45,-0.353
0.92,55.48,-0.353
0.92,55.52,-0.353
0.92,55.55,-0.353
0.92,55.58,-0.353
0.92,55.62,-0.353
0.92,55.65,-0.353
0.93,55.68,-0.353
0.93,55.72,-0.353
0.93,55.75,-0.353
0.93,55.78,-0.353
0.93,55.81,-0.353
0.93,55.85,-0.353
0.93,55.88,-0.353
0.94,55.92,-0.353
0.94,55.95,-0.353
0.94,55.98,-0.353
0.94,56.02,-0.353
0.94,56.05,-0.353
0.95,56.08,-0.353
0.95,56.12,-0.354
0.95,56.15,-0.354
0.95,56.18,-0.354
0.95,56.21,-0.354
0.95,56.25,-0.354
0.95,56.28,-0.354
0.96,56.32,-0.354
0.96,56.35,-0.354
0.96,56.38,-0.354
0.96,56.42,-0.354
0.96,56.45,-0.354
0.97,56.48,-0.354
0.97,56.52,-0.354
0.97,56.55,-0.354
0.97,56.58,-0.354
0.97,56.62,-0.354
0.97,56.65,-0.354
0.98,56.68,-0.354
0.98,56.71,-0.354
0.98,56.75,-0.354
0.98,56.78,-0.354
0.98,56.81,-0.354
0.98,56.85,-0.354
0.98,56.88,-0.354
0.99,56.92,-0.354
0.99,56.95,-0.354
0.99,56.98,-0.355
0.99,57.01,-0.355
0.99,57.05,-0.355
1.00,57.08,-0.355
1.00,57.12,-0.355
1.00,57.15,-0.355
1.00,57.18,-0.355
1.00,57.21,-0.355
1.00,57.25,-0.355
1.00,57.28,-0.355
1.01,57.32,-0.355
1.01,57.35,-0.355
1.01,57.38,-0.355
1.01,57.42,-0.355
1.01,57.45,-0.355
1.02,57.48,-0.355
1.02,57.51,-0.355
1.02,57.55,-0.355
1.02,57.58,-0.355
1.02,57.61,-0.356
1.02,57.65,-0.356
1.03,57.68,-0.356
1.03,57.71,-0.356
1.03,57.75,-0.356
1.03,57.78,-0.356
1.03,57.81,-0.356
1.03,57.85,-0.356
1.03,57.88,-0.356
1.04,57.91,-0.356
1.04,57.95,-0.356
1.04,57.98,-0.356
1.04,58.01,-0.356
1.04,58.05,-0.356
1.05,58.08,-0.356
1.05,58.11,-0.356
1.05,58.15,-0.356
1.05,58.18,-0.356
1.05,58.21,-0.356
1.05,58.25,-0.356
1.05,58.28,-0.356
1.06,58.31,-0.356
1.06,58.35,-0.356
1.06,58.38,-0.356
1.06,58.41,-0.356
1.06,58.45,-0.356
1.07,58.48,-0.357
1.07,58.51,-0.357
1.07,58.55,-0.357
1.07,58.58,-0.357
1.07,58.61,-0.357
1.07,58.65,-0.357
1.08,58.68,-0.357
1.08,58.71,-0.357
1.08,58.75,-0.357
1.08,58.78,-0.357
1.08,58.81,-0.357
1.08,58.85,-0.357
1.08,58.88,-0.357
1.09,58.91,-0.357
1.09,58.95,-0.357
1.09,58.98,-0.357
1.09,59.01,-0.357
1.09,59.05,-0.357
1.09,59.08,-0.357
1.10,59.11,-0.357
1.10,59.15,-0.357
1.10,59.18,-0.357
1.10,59.21,-0.357
1.10,59.25,-0.357
1.11,59.28,-0.357
1.11,59.31,-0.357
1.11,59.35,-0.357
1.11,59.38,-0.357
1.11,59.41,-0.358
1.11,59.45,-0.358
1.12,59.48,-0.358
1.12,59.51,-0.358
1.12,59.55,-0.358
1.12,59.58,-0.358
1.12,59.61,-0.358
1.12,59.65,-0.358
1.13,59.68,-0.358
1.13,59.71,-0.358
1.13,59.75,-0.358
1.13,59.78,-0.358
1.13,59.81,-0.358
1.13,59.85,-0.358
1.13,59.88,-0.358
1.14,59.91,-0.358
1.14,59.95,-0.358
1.14,59.98,-0.358
1.14,60.01,-0.358
1.14,60.05,-0.358
1.14,60.08,-0.358
1.15,60.11,-0.359
1.15,60.15,-0.359
1.15,60.18,-0.359
1.15,60.21,-0.359
1.15,60.25,-0.359
1.16,60.28,-0.359
1.16,60.31,-0.359
1.16,60.35,-0.359
1.16,60.38,-0.359
1.16,60.41,-0.359
1.16,60.45,-0.359
1.17,60.48,-0.359
1.17,60.51,-0.359
1.17,60.55,-0.359
1.17,60.58,-0.359
1.17,60.61,-0.359
1.17,60.65,-0.359
1.18,60.68,-0.359
1.18,60.71,-0.359
1.18,60.75,-0.359
1.18,60.78,-0.359
1.18,60.81,-0.359
1.18,60.85,-0.359
1.18,60.88,-0.360
1.19,60.91,-0.360
1.19,60.95,-0.360
1.19,60.98,-0.360
1.19,61.01,-0.360
1.19,61.05,-0.360
1.19,61.08,-0.360
1.20,61.11,-0.360
1.20,61.15,-0.360
1.20,61.18,-0.360
1.20,61.21,-0.360
1.20,61.25,-0.360
1.21,61.28,-0.360
1.21,61.31,-0.360
1.21,61.35,-0.360
1.21,61.38,-0.360
1.21,61.41,-0.360
1.21,61.45,-0.360
1.22,61.48,-0.360
1.22,61.51,-0.360
1.22,61.55,-0.360
1.22,61.58,-0.360
1.22,61.61,-0.360
1.22,61.65,-0.360
1.23,61.68,-0.361
1.23,61.71,-0.361
1.23,61.75,-0.361
1.23,61.78,-0.361
1.23,61.81,-0.361
1.23,61.85,-0.361
1.23,61.88,-0.361
1.24,61.91,-0.361
1.24,61.94,-0.361
1.24,61.98,-0.361
1.24,62.01,-0.361
1.24,62.04,-0.361
1.24,62.08,-0.361
1.25,62.11,-0.361
1.25,62.14,-0.361
1.25,62.18,-0.361
1.25,62.21,-0.361
1.25,62.25,-0.361
1.26,62.28,-0.361
1.26,62.31,-0.361
1.26,62.35,-0.361
1.26,62.38,-0.361
1.26,62.41,-0.361
1.26,62.45,-0.361
1.27,62.48,-0.361
1.27,62.51,-0.361
1.27,62.55,-0.361
1.27,62.58,-0.362
1.27,62.61,-0.362
1.27,62.65,-0.362
1.28,62.68,-0.362
1.28,62.71,-0.362
1.28,62.75,-0.362
1.28,62.78,-0.362
1.28,62.81,-0.362
1.28,62.85,-0.362
1.28,62.88,-0.362
1.29,62.91,-0.362
1.29,62.95,-0.362
1.29,62.98,-0.362
1.29,63.01,-0.362
1.29,63.05,-0.362
1.29,63.08,-0.362
1.30,63.11,-0.362
1.30,63.14,-0.362
1.30,63.18,-0.362
1.30,63.21,-0.362
1.30,63.24,-0.362
1.31,63.28,-0.362
1.31,63.31,-0.362
1.31,63.35,-0.362
1.31,63.38,-0.362
1.31,63.41,-0.362
1.31,63.45,-0.363
1.32,63.48,-0.363
1.32,63.51,-0.363
1.32,63.55,-0.363
1.32,63.58,-0.363
1.32,63.61,-0.363
1.32,63.65,-0.363
1.33,63.68,-0.363
1.33,63.71,-0.363
1.33,63.75,-0.363
1.33,63.78,-0.363
1.33,63.81,-0.363
1.33,63.85,-0.363
1.33,63.88,-0.363
1.34,63.91,-0.363
1.34,63.95,-0.363
1.34,63.98,-0.363
1.34,64.01,-0.363
1.34,64.04,-0.363
1.34,64.08,-0.363
1.35,64.11,-0.363
1.35,64.15,-0.363
1.35,64.18,-0.363
1.35,64.21,-0.363
1.35,64.25,-0.363
1.36,64.28,-0.364
1.36,64.31,-0.364
1.36,64.35,-0.364
1.36,64.38,-0.364
1.36,64.41,-0.364
1.36,64.45,-0.364
1.37,64.48,-0.364
1.37,64.51,-0.364
1.37,64.55,-0.364
1.37,64.58,-0.364
1.37,64.61,-0.364
1.37,64.65,-0.364
1.38,64.68,-0.364
1.38,64.71,-0.364
1.38,64.75,-0.364
1.38,64.78,-0.364
1.38,64.81,-0.364
1.38,64.85,-0.364
1.38,64.88,-0.364
1.39,64.91,-0.364
1.39,64.95,-0.364
1.39,64.98,-0.364
1.39,65.01,-0.364
1.39,65.05,-0.364
1.39,65.08,-0.364
1.40,65.11,-0.364
1.40,65.15,-0.364
1.40,65.18,-0.364
1.40,65.21,-0.365
1.40,65.25,-0.365
1.41,65.28,-0.365
1.41,65.31,-0.365
1.41,65.35,-0.365
1.41,65.38,-0.365
1.41,65.41,-0.365
1.41,65.45,-0.365
1.42,65.48,-0.365
1.42,65.51,-0.365
1.42,65.55,-0.365
1.42,65.58,-0.365
1.42,65.61,-0.365
1.42,65.65,-0.365
1.43,65.68,-0.365
1.43,65.71,-0.365
1.43,65.75,-0.365
1.43,65.78,-0.365
1.43,65.81,-0.365
1.43,65.85,-0.365
1.43,65.88,-0.365
1.44,65.91,-0.365
1.44,65.95,-0.365
1.44,65.98,-0.365
1.44,66.01,-0.366
1.44,66.05,-0.366
1.44,66.08,-0.366
1.45,66.11,-0.366
1.45,66.15,-0.366
1.45,66.18,-0.366
1.45,66.21,-0.366
1.45,66.25,-0.366
1.46,66.28,-0.366
1.46,66.31,-0.366
1.46,66.35,-0.366
1.46,66.38,-0.366
1.46,66.41,-0.366
1.46,66.45,-0.366
1.47,66.48,-0.366
1.47,66.51,-0.366
1.47,66.55,-0.366
1.47,66.58,-0.366
1.47,66.61,-0.366
1.47,66.65,-0.366
1.48,66.68,-0.366
1.48,66.71,-0.366
1.48,66.75,-0.366
1.48,66.78,-0.366
1.48,66.81,-0.366
1.48,66.85,-0.366
