polymer,mp,mw
"Poly(4,4'-oxydibenzoic anhydride)",296.0,240.21
"Poly(4,4'-oxydiphenylene azelamide)",300.0,352.43
"Poly(4,4'-oxydiphenylene carbonate)",235.0,228.2
"Poly(4,4'-oxydiphenylene dodecanediamide)",290.0,394.52
"Poly(4,4'-oxydiphenylene pimelamide)",315.0,324.38
"Poly(4,4'-oxydiphenylene sebacamide)",310.0,366.46
"Poly(4,4'-oxydiphenylene suberamide)",310.0,338.41
"Poly(4,4'-oxydiphenylene undecanediamide)",270.0,380.49
"Poly(4,4'-oxydiphenylenedithiodecamethylene disulfide)",80.0,436.7
"Poly(4,4'-oxydiphenylenedithioethylene disulfide)",158.0,324.49
"Poly(4,4'-oxydiphenylenedithiotetramethylene disulfide)",94.0,352.54
"Poly(4,4'-pentamethylenedibenzoic anhydride)",118.0,294.35
"Poly(4,4'-sulfinyldiphenylene carbonate)",250.0,260.26
"Poly(4,4'-sulfonyldiphenylene carbonate)",210.0,276.26
"Poly(4,4'-tetramethylenedibenzoic anhydride)",263.0,280.32
"Poly(4,4'-trimethylenedibenzoic anhydride)",215.0,266.3
"Poly(4,4'cyclohexylidenediphenylene carbonate)",260.0,294.35
"Poly(4,4-dimethyl-heptamethylene 4,4'-sulfonyldibenzamide)",268.0,428.55
"Poly(4,6-dimethyl-m-xylylene)",135.0,132.21
Poly(4-ethyl-1-hexene),234.0,112.22
"Poly(4-methyl-3,3'-dimethyl-4,4'-methylenediphenylene m-phenylenediurea)",307.0,400.48
Poly(4-methyl-6-mercaptocaproic acid),62.0,144.24
"Poly(4-methyl-P-methyl-m-phenylene 3,3'-phosphinylidenedibenzamide) (diamine)",244.0,390.38
"Poly(4-methyl-P-methyl-m-phenylene 4,4'-phosphinylidenedibenzamide) (diamine)",252.0,390.38
"Poly(4-methyl-P-phenyl-m-phenylene 4,4'-phosphinylidenedibenzamide) (diamine)",280.0,452.45
Poly(4-methyl-cyclohexylidenedimethylene oxide),165.0,140.23
Poly(4-methyl-divinylbenzal),115.0,190.24
Poly(4-methyl-hexamethylene m-phenylenediurea) (diisocyanate),235.0,290.37
Poly(4-methyl-m-phenylene urea),284.0,148.16
Poly(4-methyl-vinylcyclohexane),250.0,124.23
Poly(4-trifluoromethyl-1-pentene),255.0,138.13
"Poly(5,5,5-trifluoro-1-pentene)",225.0,124.11
Poly(5-cyclohexyl-1-pentene),123.0,152.28
Poly(5-hydroxy-3-oxavaleric acid),89.0,102.09
Poly(5-hydroxyvaleric acid),54.0,100.12
"Poly(5-methyl-1,3-heptadiene), 1,4-",180.0,110.2
Poly(5-tert-butyl-hexamethylene isophthalamide) (diacid),210.0,302.42
"Poly(6,6-dimethyl-1-heptene)",104.0,126.24
"Poly(9,10-dihydroxy-hexamethylene octadecanediamide)",172.0,426.64
"Poly(D-1,2-dihydroxydecamethylene succinate) (diacid)",66.0,288.34
"Poly(D-1,2-dimethoxy-tetramethylene succinate) (diacid)",92.0,232.23
"Poly(N,N'-dibutyl-3,3'-dimethyl-4,4'-methylenediphenylene terephthalamide) (diamine)",159.0,468.64
"Poly(N,N'-dibutyl-4,4'-methylenediphenylene terephthalamide)",195.0,440.59
"Poly(N,N'-diethyl-3,3'-dimethyl-4,4'-methylenediphenylene terephthalamide) (diamine)",178.0,412.53
"Poly(N,N'-diethyl-4,4'-methylenediphenylene terephthalamide)",182.0,384.48
"Poly(N,N'-diisopropyl-ethylene 1,4-piperazinedipropionamide)",210.0,338.5
"Poly(N,N'-dimethyl-3,3'-dimethyl-4,4'-methylenediphenylene terephthalamide) (diamine)",229.0,384.48
"Poly(N,N'-dimethyl-4,4'-methylenediphenylene sebacamide)",55.0,392.54
